Threshold,Erode,Dilate,Score,FPS
73,5,7,65.4382,0.244425
73,5,8,61.9088,0.251912
73,5,9,67.2297,0.25391
73,5,10,63.6645,0.247005
73,6,1,64.5557,0.20382
73,6,2,63.6731,0.216687
73,6,3,66.3133,0.198427
73,6,4,63.6626,0.200163
73,6,5,63.6595,0.207828
73,6,6,64.5547,0.199855
73,6,7,62.7867,0.220669
73,6,8,65.4305,0.237625
73,6,9,62.7859,0.2296
73,6,10,63.6817,0.244203
73,7,1,65.4264,0.197756
73,7,2,62.7752,0.200475
73,7,3,65.4465,0.213631
73,7,4,66.3167,0.202317
73,7,5,63.6675,0.202698
73,7,6,65.4431,0.20189
73,7,7,66.3172,0.202132
73,7,8,64.5433,0.210115
73,7,9,64.5503,0.215242
73,7,10,65.4542,0.217911
73,8,1,64.5494,0.205949
73,8,2,61.8956,0.201724
73,8,3,67.2071,0.199028
73,8,4,66.3201,0.210597
73,8,5,64.5512,0.205649
73,8,6,66.3192,0.197359
73,8,7,65.4361,0.200316
73,8,8,66.3211,0.199873
73,8,9,64.5557,0.200227
73,8,10,64.5573,0.206888
73,9,1,62.7719,0.203508
73,9,2,67.2068,0.199555
73,9,3,65.4316,0.20091
73,9,4,64.5499,0.203099
73,9,5,65.4357,0.201265
73,9,6,65.4363,0.201674
73,9,7,66.3159,0.200248
73,9,8,66.2132,0.198357
73,9,9,63.6671,0.192632
73,9,10,65.4446,0.194118
73,10,1,62.7878,0.194828
73,10,2,64.5562,0.19873
73,10,3,64.5403,0.197577
73,10,4,62.777,0.203567
73,10,5,61.8945,0.209916
73,10,6,66.3195,0.196307
73,10,7,63.4669,0.199707
73,10,8,66.3216,0.196672
73,10,9,65.4326,0.189766
73,10,10,66.3196,0.19234
85,1,1,65.4368,0.161214
85,1,2,65.4016,0.182499
85,1,3,65.4337,0.202411
85,1,4,65.437,0.216624
85,1,5,63.6777,0.221582
85,1,6,64.5595,0.221412
85,1,7,65.4381,0.227901
85,1,8,64.5477,0.247211
85,1,9,62.7837,0.250044
85,1,10,65.4342,0.254315
85,2,1,68.088,0.176367
85,2,2,64.5484,0.176623
85,2,3,65.4338,0.198933
85,2,4,65.2204,0.216413
85,2,5,64.5581,0.221712
85,2,6,62.7974,0.234241
85,2,7,64.5637,0.243267
85,2,8,63.6639,0.244045
85,2,9,61.8931,0.266616
85,2,10,61.0118,0.26853
85,3,1,66.322,0.185638
85,3,2,66.3207,0.184788
85,3,3,64.5483,0.186146
85,3,4,66.3198,0.206366
85,3,5,62.7443,0.227579
85,3,6,63.6775,0.226417
85,3,7,65.9213,0.239113
85,3,8,61.9086,0.25641
85,3,9,63.6686,0.240175
85,3,10,64.5459,0.241103
85,4,1,64.5571,0.18665
85,4,2,65.4323,0.195783
85,4,3,64.5512,0.194088
85,4,4,65.4395,0.192938
85,4,5,66.3211,0.206404
85,4,6,62.7886,0.217492
85,4,7,62.7852,0.238387
85,4,8,66.3381,0.22146
85,4,9,64.5668,0.218332
85,4,10,62.7856,0.224616
85,5,1,65.4345,0.194834
85,5,2,59.2418,0.202161
85,5,3,66.3196,0.195492
85,5,4,65.4364,0.207339
85,5,5,66.3143,0.200925
85,5,6,63.667,0.207127
85,5,7,65.4325,0.219733
85,5,8,64.5517,0.222564
85,5,9,66.3252,0.225382
85,5,10,65.4348,0.224549
85,6,1,62.7535,0.199742
85,6,2,64.5482,0.206922
85,6,3,65.4379,0.195803
85,6,4,63.6142,0.20713
85,6,5,63.6635,0.194091
85,6,6,66.3295,0.194868
85,6,7,61.899,0.212318
85,6,8,63.6652,0.219857
85,6,9,64.5534,0.214804
85,6,10,65.4429,0.222437
85,7,1,64.5412,0.21055
85,7,2,62.7818,0.20912
85,7,3,63.6633,0.19887
85,7,4,66.3182,0.195563
85,7,5,64.5509,0.201232
85,7,6,65.4299,0.200348
85,7,7,64.5511,0.197746
85,7,8,61.8879,0.205216
85,7,9,63.6704,0.215308
85,7,10,61.8965,0.221061
85,8,1,65.4411,0.196604
85,8,2,66.3183,0.20497
85,8,3,58.3596,0.206971
85,8,4,66.3208,0.200106
85,8,5,59.2469,0.200507
85,8,6,63.6647,0.198114
85,8,7,65.4337,0.190875
85,8,8,65.4316,0.193453
85,8,9,64.5443,0.197487
85,8,10,64.5518,0.206789
85,9,1,65.431,0.187989
85,9,2,62.7864,0.192187
85,9,3,63.6615,0.207637
85,9,4,53.9431,0.237275
85,9,5,61.8976,0.202818
85,9,6,60.1304,0.199485
85,9,7,65.4341,0.190447
85,9,8,65.433,0.189289
85,9,9,65.4338,0.186343
85,9,10,66.3232,0.192275
85,10,1,64.5512,0.182332
85,10,2,65.435,0.19083
85,10,3,64.5498,0.195492
85,10,4,58.3637,0.21638
85,10,5,64.551,0.195739
85,10,6,61.8983,0.199866
85,10,7,64.5523,0.189655
85,10,8,64.1987,0.188594
85,10,9,65.4312,0.184931
85,10,10,65.4351,0.184099
97,1,1,64.5522,0.155335
97,1,2,66.3163,0.175583
97,1,3,65.4372,0.193563
97,1,4,64.5579,0.199133
97,1,5,67.2187,0.205911
97,1,6,64.5575,0.209317
97,1,7,63.667,0.21026
97,1,8,62.7837,0.222651
97,1,9,61.9013,0.218687
97,1,10,61.0174,0.228615
97,2,1,65.4371,0.168112
97,2,2,67.2158,0.16956
97,2,3,64.5506,0.190518
97,2,4,64.5519,0.213865
97,2,5,65.4448,0.213853
97,2,6,62.7933,0.232654
97,2,7,61.9023,0.243529
97,2,8,66.3276,0.240758
97,2,9,61.9018,0.222388
97,2,10,64.5527,0.225266
97,3,1,65.4373,0.180592
97,3,2,66.3222,0.179707
97,3,3,65.4369,0.177729
97,3,4,66.3185,0.203373
97,3,5,67.2067,0.213675
97,3,6,67.2057,0.222726
97,3,7,65.437,0.241567
97,3,8,68.0988,0.249553
97,3,9,64.5544,0.242922
97,3,10,66.3207,0.238115
97,4,1,65.4352,0.18474
97,4,2,65.4359,0.187648
97,4,3,65.4334,0.186663
97,4,4,66.3207,0.18962
97,4,5,64.5517,0.200184
97,4,6,64.5395,0.212698
97,4,7,66.3186,0.224634
97,4,8,63.6646,0.235054
97,4,9,64.5468,0.231681
97,4,10,63.6705,0.233293
97,5,1,66.2931,0.192862
97,5,2,66.3194,0.192262
97,5,3,65.4388,0.191652
97,5,4,62.779,0.194542
97,5,5,65.4315,0.190393
97,5,6,63.6658,0.203037
97,5,7,64.5559,0.215193
97,5,8,65.4369,0.219358
97,5,9,63.6679,0.213304
97,5,10,62.7847,0.218282
97,6,1,64.5621,0.199767
97,6,2,61.0173,0.202578
97,6,3,65.4362,0.191555
97,6,4,65.4365,0.193586
97,6,5,65.4349,0.191402
97,6,6,67.2149,0.191405
97,6,7,65.4426,0.201559
97,6,8,62.7829,0.207157
97,6,9,65.4267,0.207858
97,6,10,63.6692,0.208954
97,7,1,65.4441,0.192098
97,7,2,67.2055,0.201333
97,7,3,63.673,0.198856
97,7,4,64.5552,0.196895
97,7,5,64.5482,0.189419
97,7,6,65.4295,0.190076
97,7,7,66.3203,0.192741
97,7,8,63.6678,0.199165
97,7,9,62.7825,0.201563
97,7,10,63.6711,0.203923
97,8,1,66.3196,0.191607
97,8,2,67.221,0.209589
97,8,3,64.5637,0.203523
97,8,4,66.3242,0.197387
97,8,5,65.4309,0.192649
97,8,6,65.4341,0.191675
97,8,7,65.4324,0.191273
97,8,8,65.4332,0.190306
97,8,9,63.6679,0.193291
97,8,10,64.55,0.197421
97,9,1,63.6707,0.193759
97,9,2,62.7919,0.193832
97,9,3,61.9019,0.20541
97,9,4,60.1405,0.229083
97,9,5,61.9032,0.203545
97,9,6,61.0144,0.202237
97,9,7,65.4354,0.190888
97,9,8,64.5469,0.188679
97,9,9,65.4367,0.184638
97,9,10,66.3244,0.189884
97,10,1,61.018,0.192249
97,10,2,64.5524,0.201476
97,10,3,63.677,0.208395
97,10,4,65.4474,0.215365
